job_title,description,key_skills
"axis bank fresher selection for permanent job profile","job description full time job,regular and permanent,salary,-,only for fresher candidate, wanted fresher for private bank,consumer banking, business development, opening for job vacancy all over west bengal,private bank banking offers a number of facilities,which enable the corporate customers to do several of their activities from the comfort of their premises,the banking officer is responsible for providing good service to customers pertaining to any of their banking financial and investment need,purpose of the job,the position will be responsible for resolving customer queries over the phone on a day to day basis thereby providing efficient customer service,responsibilities,handling and resolving customer complains,key skills ,basic computer knowledge and good communication skills,known of hindi english and bengali language,day shift work,benefits,medical,esi,and pf,for any quarries call adrija","banking,basic computer knowledge,bankconsumer banking,adrija"
"commis chef","prime function, responsible for the work assigned by demi chef de partie in any section of the kitchen as per the standards. ensure to perform miscellaneous job-related duties as assigned. ensure haccp procedures are followed and clear records are kept at all times. exceed guest expectations in quality and service of food products any matter which may affect the interests of hotel should be brought to the attention of the management. provide ef","commis chef,food preparation,guest services"
"sap businessobjects data services application developer","about accenture, accenture is a global professional services company with leading capabilities in digital, cloud and security. combining unmatched experience and specialized skills across more than industries, we offer strategy and consulting, interactive, technology and operations services-all powered by the worlds largest network of advanced technology and intelligent operations centers. our , people deliver on the promise of technolo","software engineering,sap business,objects data services"
"corporate sales","about the work from home job, internship selected interns day-to-day responsibilities include, . build business by identifying and selling prospects, maintaining relationships with clients . identify business opportunities by identifying prospects and evaluating their position in the industry, researching and analyzing sales options . sell products by establishing contact and developing relationships with prospects, recommending solutions skills required ms-office who can apply","design,sales"
"marketing","about the internship selected interns day-to-day responsibilities include, . interacting , engaging with customers and supply on-boarding . promoting the product through participation in marketing activities like online , offline campaigns, customer re-activation, and on-field promotions . communicating with target audiences and managing customer relationships who can apply only those candidates can apply who, . are available for full time in-office internship","marketing"
"senior officer bis","may please refer to the detailed advertisement hosted on the gail website for job description and other details","gail website"
"graphic design","about the work from home job, internship selected interns day-to-day responsibilities include, . sketching and delivering images based on the story breakdown provided . delivering the images in layers to that they can be used by the editing team . managing timely delivery skills required adobe photoshop learn these skills on internshala trainings learn adobe photoshop","design"
"business development executive, manager","roles and responsibilities develop new client accounts for it staffing business in usa interact with clients on daily basis and identify staffing opportunities to fulfill partnering and identifying opportunities for it services project generate requirements from new clients and existing clients. generate leads of us client through cold calling, mass mailing, social media search acquisition of tier , implementation partnersdesired candidate","sales,business development,lead generation,implementation,bb sales,international sales,international bpo,us it recruitment,us staffing,international business development,outbound sales"
"event management","selected interns day-to-day responsibilities include, . work on upcoming beauty shows, conferences, competitions, seminars, fashion shows, etc. . track current trends and news to generate relevant, thematic content for the show . attend events, conferences, and seminars as necessary to interview the industry leaders and cover the events . co-ordinate with artists, models, stylists, fabricators, and graphic designers for the show skills required english proficiency spoken english proficiency written event management",""
"sse, tech.lead dot net","experience , + yrs. education , b. e., b. tech., m. e., m. tech., m. c. a., m. s. - it resource availability , immediately or a maximum period of days. technical skills , strong in microsoft technologies development, sdlc process, entity framework, ado.net, sql server, sql database profiling, database programming, database design and optimization, .net core programming, api development, azure preferable, knowledge in mvc framework. job","mvc,api,azure,sdlc,ado.net,sql database,microsoft technologies,.net core,entity framework"
"certified professional coder -cpc","huge hiring for certified professional coder -cpc jobs in chennai direct experience with and knowledge of coding validation includes components of interventional radiology, electrophysiology, endovascular surgery, a wide array of diagnostic testing, and e&m services understanding of cpt coding, modifiers, ncci, lcd and, or medicare physician fee schedule mpfs ability to communicate effectively with physicians and other clinical disciplines. - years of experience salary - k to k for freshers for experience candidate based on your skills job types, full-time, regular, permanent shift - day shift hours shift no bond , permanent job location - chennai",""
